service,JANVIER,FEVRIER,MARS,T1,AVRIL,MAI,JUIN,T2,S1,JUILLET,AOÛT,SEPTEMBRE,T3,T3 TO,OCTOBRE,NOVEMBRE,DÉCEMBRE,T4,TOTAUX
DECES,,,,,,2,0,2,2,0,0,0,0,2,0,1,0,1,
Décès maternels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
décès néonatal très précoce (dans les 24 H),0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,2,3
décès néonatal Précoce (1 à 7 jours),1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
décès néonatal tardif (8 à 28 jours),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TDR positifs,5,8,3,16,8,2,,10,26,2,10,2,14,40,0,9,7,16,56
TDR négatifs,16,21,7,44,7,1,,8,52,2,15,1,18,70,0,11,13,24,94
TDR invalides,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
GE positives,901,1368,1241,3510,780,904,572,2256,5766,1152,1814,1293,4259,10025,1173,1371,1475,4019,14044
GE négatives,176,138,151,465,58,42,31,131,596,75,61,57,193,789,39,51,239,329,1118
G E TOTAL,1077,1506,1392,3975,838,946,603,2387,6362,1227,1875,1350,4452,10814,1212,1422,1714,4348,15162
Nombre de consultants cabinet dentaire,113,134,110,357,80,105,,,542,,,,,542,,,,,542
Nombre de consultations,176,214,170,560,125,170,102,,957,,,,,957,,,,,957
Nombre de prescriptions fluorées,0,0,0,0,0,0,117,,117,,,,,117,,,,,117
Carie,7,15,6,28,2,8,,,38,,,,,38,,,,,38
Pulpite,7,31,20,58,17,22,,,97,,,,,97,,,,,97
GRATUITE CIBLEE,,,,0,,,,,0,,,,,0,,,,,0
Nombre de consultants,551,,,551,,,,,551,,,,,551,,,,,551
Nombre de consultations,557,,,557,,,,,557,,,,,557,,,,,557
Nombre de référés,17,,,17,,,,,17,,,,,17,,,,,17
Nombres de référés vers les autres structures sanitaires,9,,,9,,,,,9,,,,,9,,,,,9
