service,JANVIER,FEVRIER,MARS,T1,AVRIL,MAI,JUIN,T2,S1,JUILLET,AOÛT,SEPTEMBRE,T3,T3 TO,OCTOBRE,NOVEMBRE,DÉCEMBRE,T4,TOTAUX
Nombre de consultants,3955.0,3499.0,3153.0,10607.0,2040.0,2294.0,2303.0,6637.0,17244.0,2188.0,3159.0,2742.0,8089.0,25333.0,2749.0,2923.0,3262.0,8934.0,34267.0
Nombre de consultations,4063.0,3735.0,3296.0,11094.0,2083.0,2348.0,2351.0,6782.0,17876.0,2216.0,3192.0,2824.0,8232.0,26108.0,2795.0,2971.0,3334.0,9100.0,35208.0
Nombre de consultants <5 ans,503.0,387.0,322.0,1212.0,181.0,208.0,161.0,550.0,1762.0,204.0,401.0,308.0,913.0,2675.0,383.0,297.0,486.0,1166.0,3841.0
Nombre de consultants >5 ans,3452.0,3112.0,2831.0,9395.0,1859.0,2086.0,2142.0,6087.0,15482.0,1984.0,2758.0,2434.0,7176.0,22658.0,2366.0,2626.0,2776.0,7768.0,30426.0
Nombre de conslutations <5 ans,507.0,393.0,326.0,1226.0,181.0,208.0,164.0,553.0,1779.0,206.0,404.0,312.0,922.0,2701.0,386.0,300.0,491.0,1177.0,3878.0
Nombre de consultations  >5 ans,3575.0,3342.0,2970.0,9887.0,1902.0,2140.0,2187.0,6229.0,16116.0,2010.0,2788.0,2512.0,7310.0,23426.0,2409.0,2671.0,2843.0,7923.0,31349.0
Cas M O,124.0,96.0,158.0,378.0,79.0,131.0,51.0,261.0,639.0,189.0,201.0,100.0,490.0,1129.0,173.0,64.0,75.0,312.0,1441.0
Cas référés vers une autre structure sanitaire,113.0,125.0,71.0,309.0,33.0,71.0,30.0,134.0,443.0,19.0,16.0,15.0,50.0,493.0,4.0,34.0,28.0,66.0,559.0
Petites chirurgies,88.0,55.0,98.0,241.0,65.0,72.0,56.0,193.0,434.0,49.0,70.0,68.0,187.0,621.0,76.0,65.0,62.0,203.0,824.0
1ère consultation prénatale 1er trimestre,21.0,32.0,37.0,90.0,26.0,18.0,17.0,61.0,151.0,19.0,35.0,42.0,96.0,247.0,41.0,48.0,35.0,124.0,371.0
1ère consultation prénatale autre trimestre,91.0,93.0,99.0,283.0,57.0,60.0,62.0,179.0,462.0,26.0,90.0,57.0,173.0,635.0,65.0,70.0,73.0,208.0,843.0
Total CPN1,112.0,125.0,136.0,373.0,83.0,78.0,79.0,240.0,613.0,45.0,125.0,99.0,269.0,882.0,106.0,118.0,108.0,332.0,1214.0
2ème consultation prénatale,118.0,122.0,98.0,338.0,76.0,94.0,90.0,260.0,598.0,45.0,29.0,43.0,117.0,715.0,62.0,64.0,53.0,179.0,894.0
3ème consultation prénatale,93.0,82.0,99.0,274.0,90.0,55.0,50.0,195.0,469.0,47.0,29.0,17.0,93.0,562.0,26.0,26.0,28.0,80.0,642.0
4ème consultation prénatale,52.0,54.0,55.0,161.0,49.0,49.0,46.0,144.0,305.0,30.0,35.0,15.0,80.0,385.0,17.0,11.0,22.0,50.0,435.0
5ème consultation prénatale et plus,25.0,27.0,28.0,80.0,32.0,23.0,21.0,76.0,156.0,3.0,8.0,5.0,16.0,172.0,5.0,3.0,2.0,10.0,182.0
Total autres CPN,288.0,285.0,280.0,853.0,247.0,221.0,207.0,675.0,1528.0,125.0,101.0,80.0,306.0,1834.0,110.0,104.0,105.0,319.0,2153.0
Grossesses à risque dépistées en CPN1,7.0,19.0,7.0,33.0,4.0,6.0,5.0,15.0,48.0,5.0,6.0,2.0,13.0,61.0,9.0,7.0,17.0,33.0,94.0
F E malnutries dépistées en CPN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F E anémiées dépistées en CPN,3.0,6.0,2.0,11.0,6.0,8.0,4.0,18.0,29.0,2.0,2.0,1.0,5.0,34.0,10.0,12.0,14.0,36.0,70.0
F E dépistées posi à la syphilis en CPN,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0
Sulfadoxine pyrimétamine (1ère dose),107.0,85.0,82.0,274.0,67.0,65.0,60.0,192.0,466.0,32.0,47.0,64.0,143.0,609.0,66.0,71.0,68.0,205.0,814.0
Sulfadoxine pyrimétamine (2ème dose),94.0,82.0,82.0,258.0,49.0,60.0,55.0,164.0,422.0,33.0,19.0,30.0,82.0,504.0,33.0,35.0,40.0,108.0,612.0
Sulfadoxine pyrimétamine (3ème dose),55.0,43.0,55.0,153.0,51.0,34.0,35.0,120.0,273.0,30.0,21.0,8.0,59.0,332.0,20.0,12.0,15.0,47.0,379.0
Sulfadoxine pyrimétamine (4ème dose et plus),0.0,0.0,55.0,55.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,55.0
FE vues en CPN et ayant reçu une MILDA,10.0,0.0,0.0,10.0,0.0,0.0,92.0,92.0,102.0,78.0,105.0,98.0,281.0,383.0,77.0,106.0,96.0,279.0,662.0
FE vues en CPN et mise sous Fer + folate Cp,400.0,410.0,416.0,1226.0,330.0,299.0,286.0,915.0,2141.0,170.0,226.0,178.0,574.0,2715.0,216.0,222.0,213.0,651.0,3366.0
F E vues en CPN et déparasitées,144.0,128.0,108.0,380.0,68.0,74.0,70.0,212.0,592.0,39.0,25.0,55.0,119.0,711.0,38.0,49.0,68.0,155.0,866.0
F E avec VAT2,103.0,94.0,105.0,302.0,0.0,0.0,53.0,53.0,355.0,37.0,89.0,0.0,126.0,481.0,77.0,83.0,72.0,232.0,713.0
Accouchement dans l’établissement,53.0,42.0,62.0,157.0,72.0,83.0,62.0,217.0,374.0,29.0,45.0,43.0,117.0,491.0,42.0,48.0,40.0,130.0,621.0
