service,JANVIER,FEVRIER,MARS,T1,AVRIL,MAI,JUIN,T2,S1,JUILLET,AOÛT,SEPTEMBRE,T3,T3 TO,OCTOBRE,NOVEMBRE,DÉCEMBRE,T4,TOTAUX
Mort-nés macérés,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enfants nés vivants  inférieur à 2500 g,0.0,4.0,4.0,8.0,5.0,0.0,4.0,9.0,3877.0,2.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
Prématurés,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N-nés protégés à la naissance contre le tétanos,17.0,23.0,27.0,67.0,20.0,17.0,16.0,53.0,120.0,19.0,21.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0
Accouchements multiples,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avortements spontanés,3.0,0.0,2.0,5.0,1.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Avortements volontaires,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Evacuation des mères avant l’accouchement,5.0,0.0,0.0,5.0,3.0,1.0,2.0,6.0,11.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Evacuation des mères après l’accouchement,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Evacuation des nouveau-nés,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nombre de cas de CO*,5.0,0.0,1.0,6.0,3.0,1.0,3.0,7.0,13.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Nombre de cas de CO référées vers,5.0,0.0,1.0,6.0,3.0,1.0,3.0,7.0,13.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
CPoN dans les 72 heures suivant l’accouchement,19.0,26.0,37.0,82.0,28.0,20.0,25.0,73.0,155.0,23.0,24.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
CPoN jusqu’ au 6ème jour après l’accouchement,9.0,9.0,16.0,34.0,18.0,14.0,12.0,44.0,78.0,10.0,11.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
CPoN 6ème semaine à 8ème semaine,13.0,17.0,17.0,47.0,18.0,18.0,14.0,50.0,97.0,16.0,17.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
Nombre d’enfants pesés,469.0,376.0,315.0,1160.0,64.0,303.0,270.0,637.0,1797.0,237.0,243.0,0.0,719.0,0.0,0.0,0.0,0.0,0.0,0.0
Pesées de 0-11 mois,233.0,211.0,248.0,692.0,218.0,121.0,210.0,549.0,1241.0,307.0,312.0,0.0,918.0,0.0,0.0,0.0,0.0,0.0,0.0
Enfants malnutris aigüe modérés,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enfants malnutris aigüe sévères sans complications,1.0,1.0,2.0,4.0,3.0,7.0,0.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enfants malnutris aigüe sévères avec complications,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enfants en surpoids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enfants Obèses (obésité),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enfants vus en séance de vaccination PEV de routine,223.0,201.0,201.0,625.0,218.0,121.0,210.0,549.0,1174.0,237.0,243.0,0.0,779.0,0.0,0.0,0.0,0.0,0.0,0.0
Enfants ayant reçu une MILDA au cours du PEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Enfants ayant reçu une MILDA en consultations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Enfants vaccinés en PENTA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Supplement VITA 1er dose,94.0,69.0,101.0,264.0,89.0,75.0,1114.0,1278.0,1542.0,0.0,75.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0
Supplement VITA 2eme dose,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,58.0,71.0,19.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
Suivi nutritionnel 12-59 mois,236.0,165.0,67.0,468.0,76.0,42.0,82.0,200.0,668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enfant 0-6 MOIS sous allaitement exclusif au sein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vaccination enfant RR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enfant 6-59 MOIS reçus,352.0,227.0,153.0,732.0,115.0,158.0,147.0,420.0,1152.0,167.0,208.0,0.0,539.0,0.0,0.0,0.0,0.0,0.0,0.0
Enfant 6-59 mois malnutris,1.0,1.0,2.0,4.0,3.0,7.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enfant 6-59 mois supplémenté en vitamine A,94.0,69.0,101.0,264.0,89.0,75.0,1172.0,1336.0,1600.0,71.0,94.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0
Enfant 12-59 mois déparasités,0.0,0.0,57.0,57.0,29.0,36.0,0.0,65.0,122.0,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
Enfants malnutris pris en charge,1.0,1.0,2.0,4.0,3.0,8.0,0.0,11.0,1722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enfants malnutris déclarés guéris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Femme VAT2 +,17.0,23.0,27.0,67.0,20.0,17.0,16.0,53.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAS de effets Indésirables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAS de MAPI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nombre de clients conseillés H,9.0,8.0,10.0,27.0,11.0,14.0,1.0,26.0,53.0,5.0,4.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
Nombre de clients conseillés F,14.0,10.0,14.0,38.0,17.0,6.0,8.0,31.0,69.0,19.0,8.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
Nombre de clients conseillés H  TOTAL,23.0,18.0,24.0,65.0,28.0,20.0,9.0,57.0,122.0,24.0,12.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0
Nombre de clients dépistés H,2.0,4.0,11.0,17.0,5.0,8.0,1.0,14.0,31.0,5.0,4.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
Nombre de clients dépistés F,12.0,8.0,14.0,34.0,11.0,5.0,8.0,24.0,58.0,19.0,8.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
Nombre de clients dépistés TOTAL,14.0,12.0,25.0,51.0,16.0,13.0,9.0,38.0,89.0,24.0,12.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0
Nombre de clients dépistés positifs  H,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nombre de clients dépistés positifs F,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Nombre de clients dépistés positifs   TOTAL,2.0,0.0,2.0,4.0,1.0,1.0,0.0,2.0,6.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Personnes HOMMES  IST dépistées au VIH,5.0,0.0,0.0,5.0,3.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Personnes FEMMES  IST dépistées au VIH,47.0,0.0,0.0,47.0,31.0,0.0,0.0,31.0,31.0,28.0,31.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0
Personnes   IST dépistées au VIH TOTAL,52.0,0.0,0.0,52.0,34.0,0.0,0.0,34.0,34.0,28.0,34.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0
Personnes  IST dépistées + VIH  HOMMES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Personnes s IST dépistées +au VIH FEMMES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F E reçues en CPN1 et se connaissant VIH+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F E déjà sous ARV reçue en CPN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F E conseillé et testées VIH en CPN 1,44.0,38.0,42.0,124.0,47.0,40.0,35.0,122.0,246.0,38.0,42.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0
F E et allaitatnte testées VIH en CPN + maternité,2.0,9.0,2.0,13.0,1.0,0.0,0.0,1.0,14.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Femmes  Enceintes  en retesting,19.0,22.0,40.0,81.0,28.0,20.0,30.0,78.0,159.0,20.0,24.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0
Femme  Enceinte ou allaitante dépistée VIH +,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F E ou allaitante nouvellement mise sous ARV,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F E VIH+ qui ont accouché et enregistré au cours,0.0,0.0,0.0,0.0,2.0,1.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enfant nés vivant de mère VIH +,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Enfants nés de mères VIH+ reçu ARV en 72h,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Enfants de mères VIH+ initiant la Profilaxie avt 2mois,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Enfants nés  VIH dépistés précocement avant 2 mois,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Enfants nés  VIH dépistés précocement (2 à 09 mois),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enfants de mères dépistés tardivement 10 à 18 mois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enfants de mères VIH+ nés VIH+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enfants de mères VIH+ nouvellement sous ARV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enfants de mères VIH+ référé  vers autre etablis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Femme pour le cancer du col de l’utérus par HPV*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nouvelles Utilisatrices Pilule,2.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,4.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Nouvelles Utilisatrices Injection 2 mois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nouvelles Utilisatrices Injection 3 mois,2.0,7.0,9.0,18.0,32.0,16.0,22.0,70.0,88.0,40.0,33.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0
Nouvelles Utilisatrices DIU*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nouvelles Utilisatrices Implant,2.0,8.0,6.0,16.0,10.0,5.0,7.0,22.0,38.0,10.0,10.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
Femmes séropositives au VIH sous contraception,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anciennes Utilisatrices Pilule,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Anciennes Utilisatrices Injection 2 mois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anciennes Utilisatrices Injection 3 mois,24.0,31.0,27.0,82.0,12.0,40.0,48.0,100.0,182.0,48.0,32.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0
Anciennes Utilisatrices DIU*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anciennes Utilisatrices Implant,0.0,1.0,3.0,4.0,1.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL CONSULTATION PF,40.0,53.0,48.0,141.0,55.0,63.0,78.0,196.0,337.0,102.0,77.0,0.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0
Abandon  total,20.0,23.0,16.0,59.0,4.0,9.0,10.0,23.0,82.0,12.0,6.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
Perdues de vues,40.0,23.0,14.0,77.0,22.0,24.0,18.0,64.0,141.0,20.0,28.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
Cas suspects de Paludisme,455.0,377.0,457.0,1289.0,413.0,478.0,568.0,1459.0,2748.0,771.0,581.0,0.0,1738.0,0.0,0.0,0.0,0.0,0.0,0.0
Cas suspects de Paludisme FE,28.0,20.0,20.0,68.0,19.0,21.0,30.0,70.0,138.0,53.0,30.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0
Cas de Paludisme simple,378.0,337.0,415.0,1130.0,383.0,464.0,539.0,1386.0,2516.0,729.0,528.0,0.0,1609.0,0.0,0.0,0.0,0.0,0.0,0.0
Cas de Paludisme simple chez la FE,25.0,17.0,17.0,59.0,16.0,20.0,25.0,61.0,120.0,48.0,25.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0
Cas de Paludisme grave,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cas de Paludisme grave chez la FE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cas de palu chez les moins de 5 ans,88.0,80.0,104.0,272.0,97.0,96.0,80.0,273.0,545.0,121.0,84.0,0.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL CAS palu Femme Enceinte,25.0,17.0,17.0,59.0,16.0,20.0,25.0,61.0,120.0,48.0,25.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL PALUDISME,403.0,337.0,415.0,1155.0,383.0,464.0,539.0,1386.0,2541.0,729.0,528.0,0.0,1609.0,0.0,0.0,0.0,0.0,0.0,0.0
Diarrhée. aiguë sans déshydratation,7.0,1.0,0.0,8.0,0.0,0.0,1.0,4783.0,4791.0,8.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
Diarrhée aiguë avec signes de déshydratation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Diarrhée aiguë avec déshydratation sévère,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diarrhée aiguë sanglante,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cas de DIARRHEE chez les moins de 5 ans,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
CAS TOTAL DIARRHEES,7.0,0.0,1.0,8.0,0.0,0.0,1.0,1.0,9.0,9.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
Pneumonie simple (IRA),0.0,1.0,6.0,7.0,4.0,3.0,1.0,8.0,15.0,2.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
