service,JANVIER,FEVRIER,MARS,T1,AVRIL,MAI,JUIN,T2,S1,JUILLET,AOÛT,SEPTEMBRE,T3,T3 TO,OCTOBRE,NOVEMBRE,DÉCEMBRE,T4,TOTAUX
Nombre de consultants,720.0,690.0,722.0,2132.0,667.0,788.0,850.0,2305.0,4437.0,1120.0,795.0,0.0,2550.0,0.0,0.0,0.0,0.0,2475.0,9462.0
Nombre de consultations,731.0,690.0,722.0,2143.0,685.0,809.0,855.0,2349.0,4492.0,1136.0,811.0,0.0,2601.0,0.0,0.0,0.0,0.0,2623.0,0.0
Nombre de consultants <5 ans,152.0,142.0,150.0,444.0,140.0,142.0,124.0,406.0,850.0,161.0,105.0,0.0,380.0,0.0,0.0,0.0,0.0,545.0,0.0
Nombre de consultants >5 ans,568.0,548.0,572.0,1688.0,527.0,646.0,726.0,1899.0,3587.0,959.0,690.0,0.0,2170.0,0.0,0.0,0.0,0.0,1930.0,0.0
Nombre de consultations <5 ans,155.0,142.0,150.0,447.0,142.0,143.0,124.0,409.0,856.0,161.0,105.0,0.0,386.0,0.0,0.0,0.0,0.0,572.0,0.0
Nombre de consultations  >5 ans,576.0,548.0,572.0,1696.0,543.0,666.0,731.0,1940.0,3636.0,975.0,706.0,0.0,2215.0,0.0,0.0,0.0,0.0,2051.0,0.0
Cas M O,23.0,28.0,58.0,109.0,28.0,69.0,93.0,190.0,299.0,108.0,71.0,0.0,231.0,0.0,0.0,0.0,0.0,161.0,691.0
Cas référés vers une autre structure sanitaire,13.0,2.0,3.0,18.0,10.0,1.0,3.0,14.0,32.0,2.0,7.0,0.0,17.0,0.0,0.0,0.0,0.0,3.0,0.0
Pansements,23.0,9.0,7.0,39.0,1.0,7.0,0.0,8.0,47.0,18.0,2.0,0.0,38.0,0.0,0.0,0.0,0.0,32.0,0.0
Injections,294.0,347.0,333.0,974.0,386.0,582.0,974.0,1942.0,2916.0,761.0,455.0,0.0,1634.0,0.0,0.0,0.0,0.0,14.0,0.0
Perfusions,38.0,31.0,6.0,75.0,8.0,11.0,26.0,45.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Autres soins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Petite chirurgie, circoncision",0.0,0.0,1.0,1.0,2.0,2.0,0.0,4.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Petite chirurgie, suture de plaie",1.0,10.0,7.0,18.0,3.0,0.0,0.0,3.0,21.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0
"Petite chirurgie, incision d’abcès",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Autres petites chirurgies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1ère consultation prénatale 1er trimestre,11.0,11.0,9.0,31.0,12.0,12.0,17.0,41.0,72.0,12.0,15.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0
1ère consultation prénatale autre trimestre,33.0,27.0,33.0,93.0,35.0,22.0,22.0,79.0,172.0,30.0,27.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0
Total CPN1,44.0,38.0,42.0,124.0,47.0,40.0,39.0,126.0,250.0,42.0,42.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0
2ème consultation prénatale,50.0,33.0,28.0,111.0,41.0,36.0,30.0,107.0,218.0,28.0,39.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0
3ème consultation prénatale,33.0,31.0,34.0,98.0,24.0,24.0,21.0,69.0,167.0,29.0,22.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
4ème consultation prénatale,27.0,19.0,29.0,75.0,31.0,11.0,11.0,53.0,128.0,15.0,14.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
5ème consultation prénatale et plus,3.0,9.0,23.0,35.0,13.0,21.0,10.0,44.0,79.0,11.0,14.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
Total autres CPN,116.0,92.0,114.0,322.0,109.0,92.0,72.0,273.0,595.0,83.0,89.0,0.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0
Total TOUTES CPN,160.0,130.0,156.0,446.0,156.0,134.0,113.0,403.0,849.0,125.0,131.0,0.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0
Grossesses à risque dépistées en CPN1,7.0,3.0,5.0,15.0,5.0,8.0,7.0,20.0,35.0,4.0,6.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
F E malnutries dépistées en CPN,0.0,33.0,0.0,33.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F E anémiées dépistées en CPN,40.0,30.0,27.0,97.0,17.0,18.0,24.0,59.0,156.0,34.0,24.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0
F E dépistées posi à la syphilis en CPN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sulfadoxine pyrimétamine (1ère dose),46.0,49.0,49.0,144.0,46.0,34.0,39.0,119.0,263.0,32.0,46.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0
Sulfadoxine pyrimétamine (2ème dose),50.0,29.0,26.0,105.0,39.0,31.0,25.0,95.0,200.0,30.0,26.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0
Sulfadoxine pyrimétamine (3ème dose),37.0,33.0,44.0,114.0,25.0,32.0,17.0,74.0,188.0,29.0,26.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
Sulfadoxine pyrimétamine (4ème dose et plus),6.0,7.0,20.0,33.0,19.0,12.0,14.0,45.0,78.0,15.0,7.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
FE vues en CPN et ayant reçu une MILDA,0.0,38.0,0.0,38.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
FE vues en CPN et mise sous Fer + folate Cp,160.0,130.0,156.0,446.0,156.0,134.0,113.0,403.0,849.0,125.0,131.0,0.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0
F E vues en CPN et déparasitées,88.0,73.0,57.0,218.0,121.0,47.0,49.0,217.0,435.0,46.0,62.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0
F E avec VAT2,17.0,23.0,27.0,67.0,20.0,17.0,16.0,53.0,120.0,19.0,20.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0
Accouchement dans l’établissement,19.0,23.0,36.0,78.0,25.0,17.0,22.0,64.0,142.0,20.0,20.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0
Accouchement à domicile,0.0,3.0,1.0,4.0,3.0,3.0,3.0,9.0,13.0,3.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL ACCOUCHEMENTS,19.0,26.0,37.0,82.0,28.0,20.0,25.0,73.0,155.0,23.0,24.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
Accouch référés vers une autre structure sanitaire,5.0,0.0,1.0,6.0,3.0,1.0,3.0,7.0,13.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Femmes Correctement vaccinées au VAT,17.0,23.0,27.0,67.0,20.0,17.0,16.0,53.0,120.0,19.0,20.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0
Femmes Incomplètement vaccinées au VAT,1.0,0.0,5.0,6.0,6.0,0.0,5.0,11.0,17.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Femmes Non vaccinée au VAT,1.0,3.0,5.0,9.0,2.0,3.0,4.0,9.0,18.0,2.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Naissances vivantes,19.0,26.0,37.0,82.0,27.0,19.0,25.0,71.0,153.0,23.0,24.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
Mort-nés frais,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
